front;back;tags;section
vaja olema, vaja ol/la, on vaja;to be needed;;10
föön, fööni, fööni;hair dryer;;10
kelder, keldri, keldrit;basement;;10
kodu/masin, kodu/masina, kodu/masinat;kitchen equipment;;10
kohvi/masin, kohvi/masina, kohvi/masinat;coffee machine;;10
köök, köögi, kööki;kitchen;;10
laenama, laena/ta, laena/n;to borrow;;10
mikro/laine/ahi, mikro/laine/ahju, mikro/laine/ahju;microwave;;10
mikser, mikseri, mikserit;mixer;;10
nurk, nurga, nurka;corner;;10
nõude/pesu/masin, nõude/pesu/masina, nõude/pesu/masinat;dishwasher;;10
pesu/masin, pesu/masina, pesu/masinat;washing machine;;10
pliit, pliidi, pliiti;cooking stove, cooking range;;10
põrand, põranda, põrandat;floor;;10
röster, rösteri, rösterit;toaster;;10
sahtel, sahtli, sahtlit;drawer;;10
tolmu/imeja, tolmu/imeja, tolmu/imejat;vacuum cleaner;;10
triik/raud, triik/raua, triik/rauda;iron;;10
vaip, vaiba, vaipa;carpet;;10
vee/keetja, vee/keetja, vee/keetjat;kettle;;10
aed, aia, aeda;garden;;10
ahi/küte, ahi/kütte, ahi/kütet;heating by stoves;;10
ehitus/aasta, ehitus/aasta, ehitus/aastat;the year of building;;10
garaaž, garaaži, garaaži;garage;;10
kalli/võitu;a little too expensive;;10
kamin, kamina, kaminat;fire-place;;10
kasvu/hoone, kasvu/hoone, kasvu/hoonet;greenhouse;;10
otsima, otsi/da, otsi/n;to search, to look for;;10
päris heas korras;in quite good condition;;10
renoveerima, renoveeri/da, renoveeri/n;not renovated;;10
renoveeritud;renovated;;10
ruut/meeter, ruut/meetri, ruut/meetrit;square meter;;10
spaa, spaa, spaad;spa;;10
Toila, Toila, Toilat;Toila;;10
vald, valla, valda;parish, commune;;10
üld/pind, üld/pinna, üld/pinda;overall area;;10
aasta tagasi;a year ago;;10
Hehee!;Hah! Yeah, right!;;10
Ja ongi jube lahe!;It’s really cool!;;10
jube;terrible, awful;;10
kaabel/televisioon, kaabel/televisiooni, kaabel/televisiooni;cable TV;;10
kahe/toaline, kahe/toalise, kahe/toalist;two-room(ed);;10
kesk/küte, kesk/kütte, kesk/kütet;central heating;;10
koos;together, with;;10
korter, korteri, korterit;apartment;;10
kõigi mugavustega;with everything incuded;;10
Mis siis!;So what!;;10
Mitmendal?;On which (floor)?;;10
mugavus, mugavuse, mugavust;comfort;;10
möbleeritud;furnished;;10
remontimata;not renovated, in need of renovation;;10
vanni/tuba, vanni/toa, vanni/tuba;bathroom;;10
WC, WC, WC-d;WC;;10
viiendal;on the fifth;;10
värvima, värvi/da, värvi/n;to paint, to dye;;10
üürile andma, üürile and/a, anna/n üürile;to rent, to hire out;;10
alati;always;;10
bussi/peatus, bussi/peatuse, bussi/peatust;bus stop;;10
elu/tuba, elu/toa, elu/tuba;livin-groom;;10
kabinet, kabineti, kabinetti;study, office;;10
klaasist;made of glass;;10
kokku on;altogether there is;;10
kommunaal/kulud;utilities;;10
kristall , kristalli, kristalli;crystal;;10
kristallist;made of crystal;;10
lahti tegema, lahti teh/a, tee/n lahti;to open;;10
linna/osa, linna/osa, linna/osa;part of the city, neighbourhood;;10
lukustatud;locked;;10
lähedal;close by, close;;10
magamis/tuba, magamis/toa,magamis/tuba;bedroom;;10
mängu/väljak, mängu/väljaku, mängu/väljakut;playground;;10
plast/mass, plast/massi, plast/massi;plastic;;10
plast/massist;made of plastic;;10
sisse minema, sisse min/na, lähe/n sisse;to go in;;10
trepi/koda, trepi/koja, trepi/koda;stairway, staircase;;10
diskor, diskori, diskorit;DJ;;10
elasime;we lived;;10
kirjutasin;I wrote;;10
kolima, koli/da, koli/n;to move;;10
kolisime;we moved;;10
kooli lõpetama, kooli lõpeta/da, lõpeta/n kooli;to finish school, to graduate school;;10
kuulsaks saama, kuulsaks saa/da, saa/n kuulsaks;to become famous;;10
laste/koor, laste/koori, laste/koori;children's choir;;10
laulsin;I sung;;10
lihtne, lihtsa, lihtsat;simple;;10
lõpetama, lõpeta/da, lõpeta/n;to finish, to graduate;;10
lõpetasin;I graduated, I finished;;10
Mis aastal sa oled sündinud?;When were you born? (lit on what year);;10
Mis aastal?;On what year?;;10
Mis koolis sa käisid?;To which school did you attend?;;10
mulle meeldis;I liked;;10
muusika/kool, muusika/kooli, muusika/kooli;music school;;10
samal ajal;at the same time;;10
sündima, sündi/da, sünni/n;be born;;10
sündisin;I was born;;10
tead küll;you know;;10
tsirkus, tsirkuse, tsirkust;circus;;10
tööle tulema, tööle tul/la, tule/n tööle;to come to work;;10
töötasid;you worked, they worked;;10
vana/linn, vana/linna, vana/linna;old town;;10
Väga põnev!;Very exciting!;;10
õppisin;I studied;;10
aitasid;you helped, they helped;;10
ehitasid;you built, they built;;10
Ei ole võimalik!;It's not possible!;;10
hakkasin maja ehitama;I started to build a house;;10
juba lapsena;already as a kid;;10
kolisin oma majja;I moved to my own house;;10
käisin kursustel;I took a course, I attended a course;;10
maaler, maalri, maalrit;house painter;;10
maalriks saada;to become a house painter;;10
müüsin;I sold;;10
päris ise;by yourself;;10
tahtsin;I wanted;;10
andsin süüa;I fed;;10
avama, ava/da, ava/n;to open;;10
avasin;I opened;;10
intervjuu, intervjuu, intervjuud;interview;;10
jätma, jät/ta, jäta/n;to leave;;10
jätsin;I left;;10
Jürikene, Jürikese, Jürikest;Jüri-darling (deminutive of Jüri, male name);;10
Kalli-kalli!;Lots of hugs!;;10
Kurat!;Damn! (lit Devil!);;10
käisin poes;I went to the shop;;10
lõppes;stopped;;10
Nii armas!;So sweet!;;10
signalisatsiooni, signalisatsiooni, signalisatsiooni;alarm;;10
sõitsin;I drove;;10
süüa andma, süüa and/a, anna/n süüa;to feed, to give food;;10
vajutama, vajuta/da, ajuta/n;to press;;10
vajutasin;I pressed;;10
ära lõppema, ära lõppe/da, lõpe/b ära;to finish, to stop;;10
arutama, aruta/da, aruta/n;to discuss;;10
kas või;even;;10
keelatud;forbidden;;10
korteri/kuulutus, korteri/kuulutuse, korteri/kuulutust;advertisement (about the apartment);;10
Kui suur?;How big?;;10
kuulutus, kuulutuse, kuulutust;advertisement;;10
Mitmekesi?;How many of you together?;;10
oli kirjas;was written;;10
remonti tegema, remonti teh/a, tee/n remonti;to renovate, to fix, to repair;;10
saama, saa/da, saa/n;to be allowed to, can,could;;10
sisse kolima, sisse koli/da, koli/n sisse;to move in;;10
suitsetama, suitseta/da, suitseta/n;to smoke;;10
suitsetamine, suitsetamise, suitsetamist;smoking;;10
suitsu/nurk, suitsu/nurga,suitsu/nurka;smoking area;;10
tingima, tingi/da, tingi/n;to bargain the price;;10
vaba, vaba, vaba;free, available, single;;10
võima, või/da, või/n;may, can, to be allowed to;;10
üür, üüri, üüri;rent;;10
üürima, üüri/da, üüri/n;to rent, to let;;10
hoidma, hoid/a, hoia/n;to keep;;10
hundi/koer, hundi/koera, hundi/koera;German shepard;;10
kodu/loom, kodu/looma, kodu/looma;pet, domestic animal;;10
küsimus, küsimuse, küsimust;question;;10
lapse/vanker, lapse/vankri, lapse/vankrit;pram;;10
naaber, naabri, naabrit;neighbour;;10
parkima, parki/da, pargi/n;to park;;10
parkimis/koht, parkimis/koha,parkimis/kohta;parking spot;;10
pidama, pida/da, pea/n;to keep, to have to, must;;10
tasuta;free of charge;;10
visiit/kaart, visiit/kaardi,visiit/kaarti;business card;;10
alla;under;;10
ette;to the front;;10
keskele;in the middle;;10
kitarr, kitarri, kitarri;quitar;;10
kodune, koduse, kodust;cosy;;10
kott, koti, kotti;bag;;10
kukkuma, kukku/da, kuku/n;to fall;;10
kõrvale;to the side;;10
las olla nii, nagu on;let it be as is;;10
muutus, muutuse, muutust;change;;10
panema, pan/na, pane/n;to put;;10
peale;to the topp;;10
pole mõtet;no point;;10
sõna/raamat, sõna/raamatu, sõna/raamatut;dictionary;;10
taha;behind;;10
tõstma, tõst/a, tõsta/n;to lift;;10
äärde;to the side;;10
fotokas, fotoka, fotokat;camera (slang);;10
Kas oled nõus?;Do you agree?;;10
lina, lina, lina;table cloth, linen, sheet;;10
loll, lolli, lolli;stupid, dumb, mad;;10
Lolliks läksid või?;Have you just gone mad?;;10
lolliks minema, lolliks minn/a, lähe/n lolliks;to go mad, crazy;;10
Ma tegin nalja.;I was joking.;;10
mops, mopsi, mopsi;mobile phone (slang);;10
nalja tegema, nalja teh/a, tee/n nalja;to joke;;10
nõus olema, nõus ol/la, ole/n nõus;to agree;;10
elav järjekord;(live) queue;;11
isiku/kood, isiku/koodi, isiku/koodi;ID code;;11
isikut tõendav dokument, isikut tõendava dokumendi, isikut tõendavat dokumenti;document of ID;;11
juhi/luba, juhi/loa, juhi/luba;driving licence;;11
järje/kord, järje/korra,järje/korda;queue;;11
kohutavalt;terribly;;11
Mul on vaja.;I need.;;11
muusika, muusika, muusikat;music;;11
mõni, mõne, mõnd;any, some;;11
on vaja;to need, is needed;;11
registratuuri/töötaja, registratuuri/töötaja, registratuuri/töötajat;receptionist;;11
silma/arst, silma/arsti, silma/arsti;eye doctor;;11
silmaarsti juurde;to the eye doctor;;11
vastu võtma, vastu võt/ta, võta/n vastu;to receive;;11
allergia, allergia, allergiat;allergy;;11
arsti juurde;to the doctor;;11
esimesel veebruaril;on the first of February;;11
kuuendal veebruaril;on the 6th of February;;11
Kõik ajad on täis.;All the slots are full.;;11
Meil on tarvis.;We need;;11
Mikk-Martin, Mikk-Martini, Mikk-Martinit;Mikk-Martin (male name);;11
mägi, mäe, mäge;hill, mountain;;11
oma, oma, oma;own, one's own, self-, my;;11
pere/arst, pere/arsti, pere/arsti;General Practitioner;;11
poja pärast;because of (my) son;;11
asemel;in place of, instead of;;11
haigus/puhkus, haigus/puhkuse, haigus/puhkust;sick leave;;11
hommiku/poole;a.m., in the morning;;11
kahekümne kolmandal aprillil;on the 23rd of April;;11
kahekümne viiendal aprillil;on the 25th of April;;11
kark, kargu, karku;crutch;;11
kepp, kepi, keppi;stick;;11
kirja panema, kirja pan/na, pane/n kirja;to note down, to take a note;;11
pere/arsti/keskus, pere/arsti/keskuse, pere/arsti/keskust;General Practitioner's office;;11
tema asemel;on his/her behalf;;11
vastu/võtt, vastu/võtu,vastu/võttu;reception, admission;;11
õhtu/poole;p.m., in the afternoon;;11
haiget saama, haiget saa/da, saa/n haiget;to get hurt;;11
kiir/abi, kiir/abi, kiir/abi;ambulance;;11
Minu meelest mitte.;Not to my mind.;;11
mitte;no, not;;11
Ta ei ole teadvusel.;He/She is not conscious;;11
teadvusel;concious;;11
vastama, vasta/ta, vasta/n;to answer;;11
verd jooksma, verd joosta, jookse/n verd;to bleed;;11
välja saat/ma, välja saat/a, saada/n välja;to send out;;11
haigus/leht, haigus/lehe,haigus/lehte;sick note;;11
kaebama, kaeva/ta, kaeba/n;to complain;;11
kolme päeva pärast;in three days time;;11
Mille üle te kaebate?;What's bothering you?;;11
Mul on paha olla.;I feel bad.;;11
Mul on süda paha.;I feel nauseous;;11
mäletama, mäleta/da, mäleta/n;to remember;;11
palavik, palaviku, palavikku;fever;;11
prillid;spectacles;;11
põletik, põletiku, põletikku;infection;;11
ravim, ravimi, ravimit;medicine;;11
ravima, ravi/da, ravi/n;to cure;;11
retsept, retsepti, retsepti;prescription, recipie;;11
süda, südame, südant;heart;;11
tagasi tulema, tagasi tul/la, tule/n tagasi;to come back, to return;;11
tohtima, tohti/da, tohi/n;to be allowed to, may;;11
tõsine, tõsise, tõsist;serious;;11
analüüsid;tests;;11
juhtuma, juhtu/da, juhtu/b;to happen;;11
Mis juhtus?;What happened?;;11
šokolaadi/allergia, šokolaadi/allergia, šokolaadi/allergiat;chocolate allergy;;11
šokolaadi/komm, šokolaadi/kommi, šokolaadi/kommi;chocolate candy;;11
terveks saama, terveks saa/da, saa/n terveks;to get well;;11
vastused;answers;;11
aeglaselt;slowly;;11
hirmus, hirmsa, hirmsat;terrible, horrible;;11
koma;comma;;11
kopsud;lungs;;11
kraadima, kraadi/da, kraadi/n;to take the temperature;;11
kuum, kuuma, kuuma;hot;;11
köha, köha, köha;cough;;11
külmetama, külmeta/da, külmeta/n;to get a cold, to freeze;;11
Ma kuulan kopse.;I'll listen to (your) lungs;;11
Ma tunnen ennast nii halvasti.;I feel so bad;;11
nohu, nohu, nohu;runny nose, rhinitis;;11
paari päeva pärast;in few days time;;11
puhas, puhta, puhast;clean;;11
riidesse panema, riidesse pan/na, pane/n riidesse;to put one's clothes on;;11
riidest lahti võtma, riidest lahti võt/ta, võta/n riidest lahti;to take one's clothes off;;11
sisse hingama, sisse hinga/ta, hinga/n sisse;to breathe in;;11
tundma, tund/a, tunne/n;to feel;;11
tõe/näoliselt;probably, likely;;11
viirus, viiruse, viirust;virus;;11
vitamiin, vitamiini, vitamiini;vitamine;;11
üle minema, üle min/na, lähe/b üle;to pass;;11
ilmselt;apparently, probably;;11
kiir/abi/arst, kiir/abi/arsti, kiir/abi/arsti;paramedic;;11
kips, kipsi, kipsi;cast;;11
kipsi panema, kipsi pan/na, pane/n kipsi;to put in cast;;11
kolme nädala pärast;in three weeks time;;11
Kust teil valutab?;Where does it hurt?;;11
käe/luu, käe/luu, käe/luud;arm bone;;11
käsi, käe, kätt;hand, arm;;11
lamama, lama/da, lama/n;to lie, to stretch out;;11
murd, murru, murdu;fraction;;11
parem;better, right;;11
pea/põrutus, pea/põrutuse, pea/põrutust;concussion;;11
rohkem;more, over, further;;11
röntgen, röntgeni, röntgenit;x-ray;;11
saatma, saat/a, saada/n;to send;;11
See ei võta kaua aega.;It won’t take long;;11
siit;from here;;11
süst, süsti, süsti;injection;;11
valu/vaigisti, valu/vaigisti, valu/vaigistit;painkiller;;11
apteeker, apteekri, apteekrit;pharmacist;;11
hirmsasti;terribly, horribly;;11
iga nelja tunni järel;after every four hours;;11
silma/tilgad, silma/tilkade,silma/tilkasid;eye drops;;11
tablett, tableti, tabletti;tablet, pill;;11
enne sööki;before meals;;11
info/leht, info/lehe, info/lehte;information sheet;;11
karp, karbi, karpi;box, case;;11
maitse, maitse, maitset;taste;;11
nii … kui ka…;as well as;;11
peale sööki;after meals;;11
üks/kõik;all the same, never mind;;11
allergoloog, allergoloogi, allergoloogi;allergologist;;11
allergoloogi juurde;to the allergologist;;11
arsti juures;at the doctor's;;11
eriline, erilise, erilist;special;;11
korras;in order, OK;;11
Kõik on korras.;Everything is OK.;;11
perearsti juures;at the GP;;11
vaene, vaese, vaest;poor;;11
Vaene laps!;Poor kid!;;11
ega;nor;;11
isu, isu, isu;appetite;;11
keelama, keela/ta, keela/n;to forbid;;11
lemmik/hamburger, lemmik/hamburgeri, lemmik/hamburgerit;favourite jamburger;;11
midagi süüa;something to eat;;11
murdma, murd/a, murra/n;to break, to fracture;;11
uudis, uudise, uudist;news;;11
äkki;maybe, suddenly;;11
Ats, Atsi, Atsi;Ats (male name);;12
eba/tavaline, eba/tavalise, eba/tavalist;extraordinary, unusual;;12
Henri, Henri, Henrit;Henri (male name);;12
kasutaja/nimi, kasutaja/nime, kasutaja/nime;user name;;12
kesk/eri/haridus, kesk/eri/hariduse, kesk/eri/haridust;vocational secondary education;;12
korralik, korraliku, korralikku;good-natured, decent, respectable;;12
loom, looma, looma;animal;;12
mootor/ratas, mootor/ratta,mootor/ratast;motorbike;;12
elu/koht, elu/koha, elu/kohta;place of residence;;12
energiline, energilise, energilist;energetic;;12
ette/võtja, ette/võtja, ette/võtjat;entrepreneur;;12
hooliv, hooliva, hoolivat;caring;;12
ingel , ingli, inglit;angel;;12
juuksed;hair;;12
kõrg/haridus, kõrg/hariduse, kõrg/haridust;university education;;12
optimistlik, optimistliku,optimistlikku;optimistic;;12
päris tore;quite a nice;;12
sõbralik, sõbraliku, sõbralikku;friendly;;12
valiv, valiva, valivat;picky;;12
õnnetu, õnnetu, õnnetut;unhappy, miserable, sad;;12
arg, ara, arga;cowardly;;12
eba/sportlik, eba/sportliku,eba/sportlikku;not sporty;;12
eba/viisakas, eba/viisaka, eba/viisakat;unpolite;;12
Helen, Heleni, Helenit;Helen (female name);;12
ise/loom, ise/loomu, ise/loomu;character;;12
julge, julge, julget;brave;;12
kasutaja , kasutaja, kasutajat;user;;12
korraks;for a second;;12
laisk, laisa, laiska;lazy;;12
Mis temaga on?;What about him?;;12
naljakas, naljaka, naljakat;funny;;12
nii/moodi;like this, this way;;12
profiil, profiili, profiili;profile;;12
rahulik, rahuliku, rahulikku;peaceful;;12
rahutu, rahutu, rahutut;restless;;12
rõõmus, rõõmsa, rõõmsat;happy, cheerful;;12
sportlik, sportliku, sportlikku;sporty;;12
tark, targa, tarka;clever, smart;;12
töökas, tööka, töökat;hard-working;;12
viisakas, viisaka, viisakat;polite;;12
armuma, armu/da, armu/n;to fall in love;;12
ette kujutama, ette kujuta/da, kujuta/n ette;to imagine;;12
iga/sugune, iga/suguse, iga/sugust;every kind, all sorts of;;12
kasv, kasvu, kasvu;height;;12
katki minema, katki min/na, lähe/b katki;to break down;;12
korda tegema, korda teh/a, tee/n korda;to fix, to repair;;12
kuld, kulla, kulda;gold;;12
kuldsete kätega;handy (lit with golden hands);;12
leidma, leid/a, leia/n;to find;;12
Linda, Linda, Lindat;Linda (female name);;12
naeratus, naeratuse, naeratust;smile;;12
Oh sind küll!;Oh, you!;;12
paari minutiga;in a few minutes;;12
pats, patsi, patsi;braid;;12
pikka kasvu;of tall height;;12
prillidega;with glasses;;12
Ruslan, Ruslani, Ruslani;Ruslan (male name);;12
tegelema, tegele/da, tegele/n;to deal with, to be engaged in;;12
Terje, Terje, Terjet;Terje (female name);;12
võistlus, võistluse, võistlust;competition;;12
välja nägema, välja näh/a, näe/n välja;to look like;;12
kompleks, kompleksi, kompleksi;complex;;12
kontori/rott, kontori/roti,kontori/rotti;office mouse (lit office rat);;12
kõhn, kõhna, kõhna;thin, lean, skinny;;12
meie/vanune, meie/vanuse, meie/vanust;of our age;;12
närviline, närvilise, närvilist;nervous;;12
paanika, paanika, paanikat;panic;;12
paanikas olema, paanikas ol/la, ole/n paanikas;to be in panic;;12
pea/aegu;almost;;12
selguma, selgu/da, selgu/b;to turn out;;12
tuttavaks tegema, tuttavaks teh/a, tee/n tuttavaks;to introduce;;12
tüüpiline, tüüpilise, tüüpilist;typical;;12
iga/tahes;anyhow;;12
keeruline, keerulise, keerulist;complicated;;12
nimeks panema, nimeks pan/na, pane/n nimeks;to name someone;;12
printsess, printsessi, printsessi;princess;;12
Riin, Riinu, Riinu;Riin (female name);;12
roheliste silmadega;with green eyes;;12
siniste silmadega;with blue eyes;;12
täna/päeval;nowadays;;12
uudis/himulik, uudis/himuliku,uudis/himulikku;curious;;12
blondiin, blondiini, blondiini;blonde;;12
blondiini/anekdoot, blondiini/anekdoodi, blondiini/anekdooti;blonde joke;;12
kella kolmeks;for three o'clock;;12
kokku leppima, kokku leppi/da, lepi/n kokku;to make an appointment;;12
kõige rohkem;at the most;;12
kõige/pealt;first of all, first;;12
lokk, loki, lokki;curl, lock;;12
lokkis;curly;;12
lokkis juustega;with curly hair;;12
lõikama, lõiga/ta, lõika/n;to cut;;12
lühemaks;shorter;;12
Margarita, Margarita, Margaritat;Margarita (female name);;12
puna/pea, puna/pea, puna/pead;redhead;;12
senti/meeter, senti/meetri, senti/meetrit;centimetre;;12
soeng, soengu, soengut;hairdo, hairstyle;;12
tagant;from behind;;12
tantsu/saade, tantsu/saate, tantsu/saadet;dance show;;12
tukk, tuka, tukka;fringe;;12
vahelduseks;for a change;;12
ära värvima, ära värvi/da, värvi/n ära;to dye, to colour, to paint;;12
ettevaatlik, ettevaatliku,ettevaatlikku;careful;;12
habe , habeme, habet;beard;;12
habet ajama, habet aja/da, aja/n habet;to shave;;12
Kas olete kindel?;Are you sure?;;12
kiilakas, kiilaka, kiilakat;bald;;12
Kuidas tundub?;How does it feel?;;12
paljaks ajama, paljaks aja/da, aja/n paljaks;to shave off;;12
paljas, palja, paljast;bald, naked;;12
päikese käes;in the sun;;12
tunduma, tundu/da, tundu/b;to feel;;12
tunne, tunde, tunnet;feeling;;12
täiesti kindel;completely sure;;12
täitsa hea;Quite good;;12
vunts , vuntsi, vuntsi;moustache (sing);;12
vuntsid;moustache (pl);;12
ära harjuma, ära harju/da, harju/n ära;to get used to;;12
kasutama, kasuta/da, kasuta/n;to use;;12
kauem;longer;;12
keemilised lokid;permanent curls;;12
palsam, palsami, palsamit;conditioner;;12
poole lühemaks;half the length;;12
päris ilus;quite pretty;;12
saab tehtud;will do;;12
asi, asja, asja;thing;;13
CV, CV, CV-d;CV;;13
huvitama , huvita/da, huvita/b;to interest;;13
lisa/info, lisa/info, lisa/infot;additional info;;13
Mis teid huvitab?;What interests you?;;13
"motivatsiooni/kiri, motivatsiooni/<span class=""red"">kirja, motivatsiooni/kirja</span>";cover letter;;13
naiste/pesu, naiste/pesu, naiste/pesu;woman's lingerie;;13
nali, nalja, nalja;joke;;13
parim, parima, parimat;best;;13
pesu, pesu, pesu;bedclothes, underwear;;13
pesu/pood, pesu/poe, pesu/poodi;lingerie shop;;13
voodi/pesu, voodi/pesu, voodi/pesu;bedclothes;;13
aktsia/selts, aktsia/seltsi, aktsia/seltsi;PLC (public limited company);;13
haridust tõendav dokument, haridust tõendava dokumendi, haridust tõendavat dokumenti;certificate of education;;13
katse/aeg, katse/aja, katse/aega;probationary period;;13
kohta;about something;;13
kuu alguses;in the beginning of the month;;13
on kirjas;is written;;13
pagar, pagari, pagarit;baker;;13
palga/päev, palga/päeva, palga/päeva;payday;;13
palk, palga, palka;salary;;13
puhkus, puhkuse, puhkust;holiday, vacation;;13
päts, pätsi, pätsi;loaf;;13
püha, püha, püha;holiday;;13
riiklik, riikliku, riiklikku;national, state;;13
riiklikel pühadel;on bank holidays;;13
saia/vabrik, saia/vabriku, saia/vabrikut;bakery;;13
suurim, suurima, suurimat;biggest;;13
töö kohta;about the job;;13
töö/koht, töö/koha, töö/kohta;position;;13
töö/kuulutus, töö/kuulutuse, töö/kuulutust;advertisement;;13
vahetus, vahetuse, vahetust;shift;;13
vajama, vaja/da, vaja/n;to need;;13
öine, öise, öist;nighttime;;13
öises vahetuses;in the night shift;;13
graafik, graafiku, graafikut;rotation;;13
graafiku alusel;on rotation;;13
keskmine, keskmise, keskmist;average;;13
koolitus, koolituse, koolitust;training;;13
liblikas, liblika, liblikat;butterfly;;13
liblikat ujuma;to do the butterfly stroke;;13
massöör, massööri, massööri;masseur;;13
mul on kõik olemas;I have everything;;13
oluline, olulise, olulist;important;;13
pole;do not, does not, don’t, doesn’t, haven’t, have not;;13
soodustus, soodustuse, soodustust;perk, advantage;;13
spordi/saal, spordi/saali, spordi/saali;gym;;13
sõltuma, sõltu/da, sõltu/n;to depend;;13
töö/kogemus, töö/kogemuse, töö/kogemust;work experience;;13
ujula, ujula, ujulat;swimming pool;;13
diplom, diplomi, diplomit;diploma;;13
eri/ala, eri/ala, eri/ala;speciality;;13
füüsiliselt;physically;;13
kohal olema, kohal ol/la, ole/n kohal;to be there;;13
kohale tulema, kohale tul/la, tule/n kohale;to come;;13
kommi/vabrik, kommi/vabriku, kommi/vabrikut;sweet factory;;13
kutse/kool, kutse/kooli, kutse/kooli;vocational school;;13
leping, lepingu, lepingut;contract;;13
meister, meistri, meistrit;supervisor;;13
pole päris see;that's not quite the same;;13
põhiline, põhilise, põhilist;main, most important;;13
selgeks õpetama, selgeks õpeta/da, õpeta/n selgeks;to teach;;13
suhtumine, suhtumise, suhtumist;attitude;;13
tingimus, tingimuse, tingimust;condition;;13
töö/võte, töö/võtte, töö/võtet;working principle;;13
tööle võtma, tööle võt/ta, võta/n tööle;to hire;;13
vastu/pidav, vastu/pidava, vastu/pidavat;durable, fit;;13
viisteist minutit varem;fifteen minutes earlier;;13
üheks kuuks;for one month;;13
amet, ameti, ametit;profession;;13
enne;before;;13
enne seda;before that;;13
hakkama saama, hakkama saa/da, saa/n hakkama;to manage;;13
igal pool;everywhere;;13
India, India, Indiat;India;;13
Kui kaua?;For how long?;;13
kursus, kursuse, kursust;course;;13
salong, salongi, salongi;salon;;13
sisustus, sisustuse, sisustust;furnishing;;13
Tai, Tai, Taid;Thailand;;13
teada andma, teada and/a, anna/n teada;to let someone know;;13
tihti;often;;13
toimuma, toimu/da, toimu/b;to take place;;13
tule/tõrjuja, tule/tõrjuja, tule/tõrjujat;firefighter;;13
turva/mees, turva/mehe, turva/meest;security guard;;13
tõsiselt;really;;13
täiesti;totally, fully;;13
täiesti vabalt;completely fluently;;13
uhke, uhke, uhket;plush, cool, gorgeous;;13
vetel/päästja, vetel/päästja, vetel/päästjat;lifeguard;;13
välis/maa, välis/maa, välis/maad;abroad, foreign country;;13
välis/maalane, välis/maalase, välis/maalast;foreigner;;13
elekter, elektri, elektrit;electricity;;13
katki tegema, katki teh/a, tee/n katki;to break;;13
laskma, las/ta, lase/n;to let;;13
lõpp, lõpu, lõppu;end;;13
nupp, nupu, nuppu;button;;13
pilv, pilve, pilve;cloud;;13
rikkis;broken;;13
sisse lülitama, sisse lülita/da, lülita/n sisse;to swith on;;13
tsehh, tsehhi, tsehhi;section, department;;13
tuli, tule, tuld;light, fire;;13
tuttav, tuttava, tuttavat;familiar;;13
töö/päeva lõpus;at the end of the workday;;13
vaevalt küll;hardly;;13
välja lülitama, välja lülita/da, lülita/n välja;to turn off;;13
ära kustutama, ära kustuta/da, kustuta/n ära;to swith off;;13
ära minema, ära min/na, lähe/b ära;to go off;;13
ei ole hullu;it's OK;;13
kliendi/info, kliendi/info, kliendi/infot;information about clients;;13
klõpsima, klõpsi/da, klõpsi/n;to click;;13
käte/rätik, käte/rätiku, käte/rätikut;towel;;13
läheb aega;takes time;;13
masin, masina, masinat;equipment, machine;;13
milline, millise, millist;what a;;13
muusika/keskus, muusika/keskuse, muusika/keskust;stereo system;;13
padi, padja, patja;pillow;;13
programm, programmi, programmi;programme;;13
põlema pane/ma, põlema pan/na, pane/n põlema;to switch on (the light);;13
radiaator, radiaatori, radiaatorit;radiator;;13
remont, remondi, remonti;repairment;;13
segi minema, segi min/na, lähe/b segi;to confuse, to mix;;13
tekk, teki, tekki;blanket, quilt;;13
vahetustega;in shifts;;13
vinge, vinge, vinget;cool;;13
ära parandama, ära paranda/da, paranda/n ära;to fix, to repair;;13
hapu/kurk, hapu/kurgi,hapu/kurki;gherkin;;14
kilo, kilo, kilo;kilo;;14
korjama, korja/ta, korja/n;to pick;;14
kuke/seen, kuke/seene, kuke/seent;chantarelle;;14
maasikas, maasika, maasikat;strawberry;;14
maksan sibulate eest;I pay for the onins;;14
pange mõlemaid;put both;;14
poolteist kilo;a kilo and a half;;14
Päris head jah!;Quite nice indeed!;;14
tagasi andma, tagasi and/a, anna/n tagasi;to give back (change);;14
turu/müüja, turu/müüja, turu/müüjat;seller (at the market);;14
vaarikas, vaarika, vaarikat;raspberry;;14
viie/kümne/eurone, viie/kümne/eurose, viie/kümne/eurost;fifty euro note;;14
kast, kasti, kasti;a box;;14
kile/kott, kile/koti, kile/kotti;plastic bag;;14
kott hapusid õunu;a bag of sour apples;;14
Kumba sorti?;Which sort?;;14
mari, marja, marja;berry;;14
paras raha;exact change;;14
soodne, soodsa, soodsat;favorable;;14
sort, sordi, sorti;sort;;14
sõstar, sõstra, sõstart;currant;;14
ananassi/konserv, ananassi/konservi, ananassi/konservi;tinned pineapple;;14
jahu, jahu, jahu;flour;;14
kott piima;a (plastic) container of milk;;14
pärm, pärmi, pärmi;yeast;;14
tükk, tüki, tükki;piece;;14
õli, õli, õli;oil;;14
detsi/liiter, detsi/liitri, detsi/liitrit;decilitre;;14
gramm, grammi, grammi;gram;;14
järelikult;so, therefore;;14
korralikult;thoroughly;;14
lisama, lisa/da, lisa/n;to add;;14
male , male, malet;chess;;14
malet mängima, malet mängi/da, mängi/n malet;to play chess;;14
